00150|49|10|1974091|1974091||
00151|59|90|1974091|1974091||
00152|61|35|1974091|2003177|Batteries, Nonrechargeable|
00152|61|40|1974091|2003177|Batteries, Rechargeable|
00153|69|10|1974093|1994062||
00154|99|05|1974091|1974091||
00155|16|80|2021043|2021043||
00155|25|90|2016119|2016119||
00155|99|05|1974091|1974091||
00155|99|15|2023116|2023116||
00156|99|05|1974091|2011139||
00157|58|05|1974091|1974091||
00158|59|30|1974091|1974091||
00159|59|30|1974091|1974091||
00160|62|10|1987051|2003178|Indoor and Outdoor Electric Lighting Fixtures|
00160|62|20|1987051|2003178|Electric Vehicular Lights and Fixtures|
00160|63|40|2012341|2012341|Aircraft Alarm and Signal Systems|
00161|14|30|1985277|2003178|Guided Missile Remote Control Systems|
00161|58|40|1985277|2003178|Radar Equipment, Except Airborne|
00161|58|41|1985277|2003178|Radar Equipment, Airborne|
00161|58|95|1985277|2003178|Miscellaneous Communication Equipment|
00162|58|20|1986080|2003177|Radio and Television Communication Equipment, Except Airborne|
00162|58|40|1986080|2003177|Radar Equipment, Except Airborne|
00163|12|70|1985263|2003177|Aircraft Gunnery Fire Control Components|
00163|58|40|1985263|2003177|Radar Equipment, Except Airborne|
00163|58|41|1985263|2003177|Radar Equipment, Airborne|
00164|59|65|1987233|1987233||
00165|49|40|1974091|2003177|Miscellaneous Maintenance and Repair Shop Specialized Equipment|
00165|59|50|1974091|2003177|Coils and Transformers|
00165|66|35|1974091|2003177|Physical Properties Testing and Inspection|
00166|66|25|1974091|1974091||
00167|59|55|1991130|1991130||
00169|58|35|1974091|2003177|Sound Recording and Reproducing Equipment|
00169|74|50|1974091|2003177|Office Type Sound Recording and Reproducing Machines|
00170|58|95|1987163|1987163||
00171|59|85|2007202|2007202|Antennas, Waveguides, and Related Equipment|
00171|66|25|1987163|2003177|Electrical and Electronic Properties Measuring and Testing Instruments|
00172|58|95|1989034|1989034||
00173|59|30|1974091|1974091||
00174|59|30|1974091|1994062||
00175|59|30|1974091|1974091||
00176|59|63|1979313|2003177|Electronic Modules|
00176|61|10|1979313|2003177|Electrical Control Equipment|
00177|58|15|1974091|1974091||
00178|59|35|1974091|1974091||
00179|58|30|1974091|2003177|Intercommunication and Public Address Systems, Except Airborne|
00179|58|31|1974091|2003177|Intercommunication and Public Address Systems, Airborne|
00180|58|20|1986360|2003177|Radio and Television Communication Equipment, Except Airborne|
00180|58|40|1986360|2003177|Radar Equipment, Except Airborne|
00180|58|95|1986360|2003178|Miscellaneous Communication Equipment|
00180|66|25|1986360|2003177|Electrical and Electronic Properties Measuring and Testing Instruments|
00181|49|20|1985305|2003177|Aircraft Maintenance and Repair Shop Specialized Equipment|
00181|58|25|1985305|2003177|Radio Navigation Equipment, Except Airborne|
00181|58|40|1985305|2003177|Radar Equipment, Except Airborne|
00181|58|95|1985305|2003177|Miscellaneous Communication Equipment|
00181|66|25|1985305|2003177|Electrical and Electronic Properties Measuring and Testing Instruments|
00182|58|95|1987275|2003178|Miscellaneous Communication Equipment|
00182|66|25|1987233|2003178|Electrical and Electronic Properties Measuring and Testing Instruments|
00183|66|25|1985179|1994062||
00184|59|30|1974091|1974091||
00185|59|65|1974091|1974091||
00186|59|85|1986038|1986038||
00187|59|65|1989216|1989216||
00188|59|85|1990243|1990243||
00189|59|85|1987233|1987233||
00190|59|85|1986038|1986038||
00191|63|50|1974091|1974091||
00192|63|50|1974097|1994062||
00193|58|05|1974091|1974091||
00194|58|05|1974091|1974091||
00195|59|10|1974091|1974091||
00196|59|55|1974091|1974091||
00197|59|55|1974091|1994062||
00198|62|30|1974091|1974091||
00199|65|10|1974091|1974091||
00201|59|77|1974091|1974091||
00202|66|25|1974091|1974091||
00203|58|95|1987233|1987233||
00204|59|65|1974091|1974091||
00205|59|05|1974091|1974091||
00206|59|30|1974091|1974091||
00207|34|39|1974091|1974091||
00208|59|50|1974091|1974091||
00209|59|15|1974091|1974091||
00210|59|15|1974091|1974091||
00211|22|10|1974091|1974091||
00212|22|10|1974091|1974091||
00213|22|10|2000256|2000256||
00214|22|10|1985151|1985151||
00215|71|95|1974091|1974091||
00216|99|05|1974091|1974091||
00217|99|05|1974091|1974091||
00218|99|05|1974091|1974091||
00219|99|05|1974091|1974091||
00220|59|70|1974091|1974091||
00221|58|95|1985179|2003177|Miscellaneous Communication Equipment|
00221|66|25|1985179|2003177|Electrical and Electronic Properties Measuring and Testing Instruments|
00221|70|40|1985179|2003177|Punched Card Equipment|
00222|58|95|1989202|1989202||
00223|20|20|1974091|2003177|Rigging and Rigging Gear|
00223|66|65|1974098|2003177|Hazard-Detecting Instruments and Apparatus|
00224|59|70|1974091|1974091||
00225|59|70|1974091|1974091||
00226|59|70|1974091|1974091||
00227|59|70|1974091|1974091||
00229|61|25|1974091|1974091||
00230|62|10|1974091|1974091||
00231|61|10|1974091|1974091||
00232|61|45|1974091|1994062||
00233|61|10|1988204|1988204||
00234|69|40|1974091|1974091||
00235|69|10|1974091|1974091||
00236|69|40|1974091|1974091||
00237|66|25|1986080|2003178|Electrical and Electronic Properties Measuring and Testing Instruments|
00237|69|40|1986080|2003178|Communication Training Devices|
00238|49|35|1974091|1974091||
00239|49|35|1974091|1974091||
00240|49|20|1988176|2003178|Aircraft Maintenance and Repair Shop Specialized Equipment|
00240|49|21|1988176|2003178|Torpedo Maintenance, Repair, and Checkout Specialized Equipment|
00240|49|35|1988176|2003178|Guided Missile Maintenance, Repair, and Checkout Specialized Equipment|
00241|49|20|1974091|2003178|Aircraft Maintenance and Repair Shop Specialized Equipment|
00241|69|30|1974091|2003178|Operation Training Devices|
00242|66|25|1992297|2003178|Electrical and Electronic Properties Measuring and Testing Instruments|
00242|69|20|1992297|2003178|Armament Training Devices|
00242|69|40|1992297|2003178|Communication Training Devices|
00243|58|45|1988176|1988176||
00244|59|85|1986080|1986080||
00245|58|35|1974091|1974091||
00246|29|20|1974091|2003178|Engine Electrical System Components, Nonaircraft|
00246|29|25|1974091|2003178|Engine Electrical System Components, Aircraft Prime Moving|
00247|59|75|1974091|1974091||
00248|59|20|1974091|1974091||
00249|59|20|1974091|1974091||
00250|59|20|1974091|1974091||
00251|58|45|1974091|1974091||
00252|58|45|1974091|1974091||
00253|99|99|1993099|1993099||
00254|65|15|1992143|1992143||
00255|65|15|1974091|1974091||
00257|65|10|1974091|1974091||
00258|65|20|1974091|1974091||
00259|65|15|1992143|1992143||
00260|65|10|1974091|1974091||
00261|65|10|1974091|1974091||
00262|65|10|1991004|1991004||
00263|65|10|1974091|1974091||
00264|65|10|1974091|1974091||
00269|65|10|1974091|1974091||
00274|65|10|1974091|1994062||
00275|65|10|1974091|1974091||
00276|58|95|1987233|2003178|Miscellaneous Communication Equipment|
00276|66|25|1987233|2003178|Electrical and Electronic Properties Measuring and Testing Instruments|
00277|58|45|1974091|1974091||
00278|58|45|1974091|1974091||
00279|58|45|1974091|1974091||
00280|68|10|1974091|1974091||
00281|68|40|1974091|1974091||
00282|68|10|1974091|1974091||
00284|68|10|1974091|1974091||
00285|68|50|1974091|1974091||
00286|68|50|1974091|1974091||
00287|68|50|1974091|1974091||
00288|68|50|1974091|1974091||
00289|65|05|2018151|2018151||
00289|68|10|1974091|1974091||
00291|99|99|1993099|1993099||
00292|99|99|1993099|1993099||
00293|59|65|1974091|1974091||
00294|29|20|1974091|2003178|Engine Electrical System Components, Nonaircraft|
00294|29|25|1974091|2003178|Engine Electrical System Components, Aircraft Prime Moving|
00295|61|30|1991242|1991242||
00296|29|20|1974091|2003266|Engine Electrical System Components, Nonaircraft|
00296|29|25|1974091|2003266|Engine Electrical System Components, Aircraft Prime Moving|
00297|58|45|1974091|1974091||
00299|61|30|1974091|1974091||
00300|59|61|1974091|1974091||
00301|58|95|1985263|1985263||
00302|59|77|1974091|1974091||
00303|29|20|1974091|2003178|Engine Electrical System Components, Nonaircraft|
00303|29|25|1974091|2003178|Engine Electrical System Components, Aircraft Prime Moving|
00304|58|30|1974091|2003178|Intercommunication and Public Address Systems, Except Airborne|
00304|58|31|1974091|2003178|Intercommunication and Public Address Systems, Airborne|
00305|59|85|1986038|1986038||
00306|58|05|1974091|1974091||
00307|58|05|1974091|1974091||
00309|59|05|1974091|1974091||
00310|59|45|1987023|1987023||
00311|59|20|1990033|1990033||
00312|66|65|1974091|1974091||
00313|59|77|1987233|1987233||
00314|58|95|1987233|2003178|Miscellaneous Communication Equipment|
00314|59|85|1987233|2003178|Antennas, Waveguides, and Related Equipment|
00314|66|25|1987233|2003178|Electrical and Electronic Properties Measuring and Testing Instruments|
00315|58|35|1974091|2003240|Sound Recording and Reproducing Equipment|
00315|74|50|1974091|2003240|Office Type Sound Recording and Reproducing Machines|
00316|58|35|1974091|2003178|Sound Recording and Reproducing Equipment|
00316|74|50|1974091|2003178|Office Type Sound Recording and Reproducing Machines|
00317|69|10|1974091|2003178|Training Aids|
00317|77|40|1974100|2003178|Phonograph Records|
00318|69|10|1974091|2003178|Training Aids|
00318|77|40|1974100|2003178|Phonograph Records|
00319|59|75|1974091|1974091||
00320|59|20|1974091|1974091||
00321|59|20|1974091|1974091||
00322|66|65|1974091|1974091||
00323|58|41|1985305|2003178|Radar Equipment, Airborne|
00323|58|95|1985305|2003178|Miscellaneous Communication Equipment|
00323|66|25|1985305|2003178|Electrical and Electronic Properties Measuring and Testing Instruments|
00324|58|95|1990243|2003178|Miscellaneous Communication Equipment|
00324|66|25|1990243|2003178|Electrical and Electronic Properties Measuring and Testing Instruments|
00325|58|05|1974091|1974091||
00326|58|05|1974091|1974091||
00327|58|05|1974091|1974091||
00328|58|05|1974091|1974091||
00329|58|95|1988204|2003178|Miscellaneous Communication Equipment|
00329|59|63|1988204|2003178|Electronic Modules|
00329|59|85|2021032|2021032||
00329|61|30|1988204|2003178|Converters, Electrical, Nonrotating|
00330|58|95|1988204|2003178|Miscellaneous Communication Equipment|
00330|59|63|1988204|2003178|Electronic Modules|
00330|61|30|1988204|2003178|Converters, Electrical, Nonrotating|
00332|12|85|1987051|2003178|Fire Control Radar Equipment, except Airborne|
00332|58|05|1987051|2003178|Telephone and Telegraph Equipment|
00332|58|15|1987051|2003178|Teletype and Facsimile Equipment|
00332|58|20|1987051|2003178|Radio and Television Communication Equipment, Except Airborne|
00332|58|21|1987051|2003178|Radio and Television Communication Equipment, Airborne|
00332|58|25|1987051|2003178|Radio Navigation Equipment, Except Airborne|
00332|58|26|1987051|2003178|Radio Navigation Equipment, Airborne|
00332|58|40|1987051|2003178|Radar Equipment, Except Airborne|
00332|58|95|1987051|2003178|Miscellaneous Communication Equipment|
00332|59|63|1987051|2003178|Electronic Modules|
00332|66|25|1987051|2003178|Electrical and Electronic Properties Measuring and Testing Instruments|
00333|16|77|2015327|2015327||
00333|58|20|1990019|2003266|Radio and Television Communication Equipment, Except Airborne|
00333|58|25|1990019|2003266|Radio Navigation Equipment, Except Airborne|
00333|58|26|1990019|2003266|Radio Navigation Equipment, Airborne|
00333|58|65|1990019|2003266|Electronic Countermeasures, Counter-Countermeasures and Quick Reaction Capability Equipment|
00333|58|95|1990019|2003266|Miscellaneous Communication Equipment|
00333|59|85|2015327|2015327||
00333|66|25|1990019|2003266|Electrical and Electronic Properties Measuring and Testing Instruments|
00334|58|95|1987233|2003178|Miscellaneous Communication Equipment|
00334|66|25|1987233|2003178|Electrical and Electronic Properties Measuring and Testing Instruments|
00335|59|85|1982351|1982351||
00336|66|25|1987233|1987233||
00337|66|25|1986360|1986360||
00338|99|99|1993099|1993099||
00339|99|99|1993099|1993099||
00340|59|50|1974091|1974091||
00341|59|85|1986360|1986360||
00343|99|99|1993099|1993099||
00345|59|50|1974091|1974091||
00346|99|99|1993099|1993099||
00348|99|99|1993099|1993099||
00349|99|99|1993099|1993099||
00350|59|85|1985123|1985123||
00351|59|60|1989244|1989244||
00352|53|40|1974091|2003178|Hardware, Commercial|
00352|59|99|1974091|2003178|Miscellaneous Electrical and Electronic Components|
00353|58|15|1974091|1974091||
00354|59|75|1987233|1987233||
00355|58|05|1974091|1974091||
00356|58|15|1974091|1974091||
00357|66|25|1993127|1993127||
00358|59|65|1974091|1974091||
00359|59|65|1974091|1974091||
00360|59|65|1974091|1974091||
00361|59|65|1974091|1974091||
00362|59|65|1974091|1974091||
00363|59|65|1974091|1974091||
00364|59|65|1974091|1974091||
00365|66|85|1974091|1974091||
00366|58|95|1989006|2006346||
00369|65|25|1974091|1974091||
00370|58|95|1988176|1988176||
00371|59|85|1974091|1974091||
00372|59|85|1974091|1974091||
00374|65|10|1974091|1974091||
00375|34|26|2013232|2013232||
00375|65|10|1974091|1994062||
00376|65|10|1994136|1994136||
00377|65|20|1974091|1974091||
00379|65|10|1974091|1994062||
00380|65|10|1974091|1974091||
00381|59|20|1990033|1990033||
00382|59|20|1974091|1974091||
00383|59|20|1990033|1990033||
00384|59|85|1974091|1974091||
00385|59|35|1988176|2003178|Connectors, Electrical|
00385|59|99|1988176|2003178|Miscellaneous Electrical and Electronic Components|
00386|61|45|1974091|1994062||
00388|59|20|1974091|1974091||
00389|61|25|1974091|1974091||
00390|66|25|1986360|1986360||
