G0196|17206|1988148|1991091|
G0197|17206|1988148|1991091|
G0198|17206|1988148|1991091|
G0199|17206|1988148|1991091|
G0200|17206|1988148|1991091|
G0201|09764|1988148|1988148|
G0201|09766|1988148|1988148|
G0201|31132|1988148|1988148|
G0201|67311|1988148|1988148|
G0203|40104|1988148|1991091|
G0204|33212|1988106|1991091|
G0205|33248|1988106|1991091|
G0206|04226|1988134|1991091|
G0207|04228|1988134|1991091|
G0208|05488|1988120|1991091|
G0209|05488|1988120|1991091|
G0210|00122|1988120|1991091|
G0211|17484|1988106|1993324|
G0212|19163|1988120|1991091|
G0213|30644|1988120|1991091|
G0213|39049|1988120|1991091|
G0214|37463|1988120|1991091|
G0215|37218|1988120|1991091|
G0216|36478|1988120|1991091|
G0217|07460|1988106|1991091|
G0218|07461|1988106|1991091|
G0218|58132|1988106|1991091|
G0220|13349|1988106|1991091|
G0221|24571|1988106|1991091|
G0222|24571|1988106|1991091|
G0223|24571|1988120|1993324|
G0224|35520|1988106|1991091|
G0225|39978|1988148|1993324|
G0226|13205|1988120|1991091|
G0228|39969|1988120|1991091|
G0229|27143|1988120|1991091|
G0229|28308|1988120|1991091|
G0229|28423|1988120|1991091|
G0229|33846|1988120|1991091|
G0229|33857|1988120|1991091|
G0230|36854|1988120|1991091|
G0231|39964|1988120|1991091|
G0233|40079|1988134|1991091|
G0234|35917|1988120|1991091|
G0235|02378|1988120|1991091|
G0235|02381|1988120|1991091|
G0235|02388|1988120|1991091|
G0236|10255|1988120|1991091|
G0237|39955|1988120|1991091|
G0239|39953|1988120|1993324|
G0240|03801|1988120|1991091|
G0240|06077|1988120|1991091|
G0240|13434|1988120|1991091|
G0240|28458|1988120|1991091|
G0240|61783|1988120|1991091|
G0241|60627|1988120|1991091|
G0243|13432|1988120|1991091|
G0244|39926|1988120|1991091|
G0245|39924|1988120|1991091|
G0246|39923|1988120|1991091|
G0247|39922|1988120|1991091|
G0248|39920|1988120|1991091|
G0249|39919|1988120|1991091|
G0251|39918|1988120|1991091|
G0252|39925|1988120|1991091|
G0254|39917|1988120|1991091|
G0255|39912|1988134|1991091|
G0256|14066|1988120|1991091|
G0258|22301|1988106|1991091|
G0259|22191|1988106|1991091|
G0260|16187|1988106|1991091|
G0261|16187|1988106|1991091|
G0262|17532|1988106|1991091|
G0263|17532|1988106|1991091|
G0264|20233|1988106|1991091|
G0266|40995|1991172|1991172|
G0267|17678|1988106|1991091|
G0268|60411|1988092|1991091|
G0269|60411|1988092|1991091|
G0270|60411|1988092|1991091|
G0271|06159|1988092|1991091|
G0272|00329|1988092|1991091|
G0273|00740|1988092|1991091|
G0274|00511|1988092|1991091|
G0275|39826|1988274|1991091|
G0277|60120|1988106|1991091|
G0279|39817|1988106|1991091|
G0280|39817|1988106|1991091|
G0281|39816|1988106|1991091|
G0283|39806|1988106|1991091|
G0284|39805|1988106|1991091|
G0285|39803|1988106|1991091|
G0286|39803|1988106|1991091|
G0287|02060|1988106|1993324|
G0288|02060|1988106|1991091|
G0289|02060|1988092|1991091|
G0297|08059|1988078|1991091|
G0298|60639|1988078|1991091|
G0299|00612|1988078|1991091|
G0300|00295|1988078|1988078|
G0300|00446|1988078|1988078|
G0301|38955|1988078|1988078|
G0301|39614|1988078|1988078|
G0302|00202|1988106|1991091|
G0303|19063|1988078|1991091|
G0304|62222|1988078|1991091|
G0305|39951|1988078|1988078|
G0307|22089|1988092|1991091|
G0308|30475|1988092|1991091|
G0309|11006|1988078|1993324|
G0311|33294|1988078|1991091|
G0313|46125|1991018|1991091|
G0314|21146|1988078|1991091|
G0315|39518|1988064|1991091|
G0316|39632|1991298|1991298|
G0318|39663|1988078|1991091|
G0320|39661|1988078|1991091|
G0321|04456|1988064|1991091|
G0322|39659|1992101|1991091|
G0323|01869|1992101|1991091|
G0324|15938|1992101|1991091|
G0325|13211|1992101|1991091|
G0326|00030|1992255|1992255|
G0326|00032|1992255|1992255|
G0326|00033|1992255|1992255|
G0326|13211|1992255|1992255|
G0327|15938|1992101|1991091|
G0328|14218|1992101|1991091|
G0329|13393|1992101|1991091|
G0330|15936|1992101|1991091|
G0331|15937|1992115|1991091|
G0332|15938|1992101|1991091|
G0333|39657|1988274|1991091|
G0335|39886|1988078|1988078|
G0336|21884|1988078|1991091|
G0337|40223|1988078|1988078|
G0338|06795|1988078|1991091|
G0339|11072|1988078|1991091|
G0340|22261|1988078|1991091|
G0341|38647|1988078|1991091|
G0342|17988|1988078|1991091|
G0343|39653|1988078|1991091|
G0344|39644|1988078|1991091|
G0345|39644|1988078|1991091|
G0346|66484|1988078|1988078|
G0347|40896|1988288|1991091|
G0348|39634|1988078|1991091|
G0349|00019|1988064|1988064|
G0349|00051|1988064|1988064|
G0350|21007|1988078|1991091|
G0351|21007|1988064|1991091|
G0352|21007|1988064|1991091|
G0353|21007|1988064|1991091|
G0354|21007|1988064|1991091|
G0355|21007|1988064|1991091|
G0356|21007|1988064|1991091|
G0357|21007|1988064|1991091|
G0358|21007|1988064|1991091|
G0362|21007|1988078|1991091|
G0363|21007|1988064|1991091|
G0364|21007|1988064|1991091|
G0365|21007|1988064|1991091|
G0366|21007|1988064|1991091|
G0367|16880|1988064|1991091|
G0368|16450|1988064|1991091|
G0368|28455|1988064|1991091|
G0369|61282|1988064|1991091|
G0371|01852|1988064|1988064|
