"schema_name","table_name","column_order","column_name","data_type","column_comment"
web_app,cidapplication,2,form_no,character varying(50),流水號
web_app,cidapplication,3,applicant,character varying(50),
web_app,cidapplication,4,item_uuid,uuid,
web_app,cidapplication,5,suggested_prefix,character varying(2),建議前兩碼
web_app,cidapplication,6,approved_cid,character varying(50),核定CID
web_app,cidapplication,7,equipment_name_zh,character varying(100),
web_app,cidapplication,8,equipment_name_en,character varying(200),
web_app,cidapplication,9,supplier_code,character varying(20),
web_app,cidapplication,10,part_number,character varying(50),
web_app,cidapplication,11,status,character varying(20),
web_app,cidapplication,12,date_created,timestamp without time zone,
web_app,cidapplication,13,date_updated,timestamp without time zone,
web_app,cidapplication_form_no_key,1,form_no,character varying(50),
web_app,cidapplication_pkey,1,application_uuid,uuid,
web_app,idx_app_date_created,1,date_created,timestamp without time zone,
web_app,idx_app_deleted_at,1,deleted_at,timestamp without time zone,
web_app,idx_app_item_uuid,1,item_uuid,uuid,
web_app,idx_app_log_created_date_timestamp,1,created_date,date,
web_app,idx_app_log_created_date_timestamp,2,timestamp,timestamp with time zone,
web_app,idx_app_log_level,1,level,character varying(10),
web_app,idx_app_log_timestamp,1,timestamp,timestamp with time zone,
web_app,idx_app_log_user_id,1,user_id,uuid,
web_app,idx_app_status,1,status,character varying(50),
web_app,idx_app_user_id,1,user_id,uuid,
web_app,idx_attachment_app_id,1,application_id,uuid,
web_app,idx_attachment_type,1,file_type,character varying(20),
web_app,idx_attachment_user_id,1,user_id,uuid,
web_app,idx_audit_action,1,action,character varying(100),
web_app,idx_audit_date_created,1,date_created,timestamp without time zone,
web_app,idx_audit_resource,1,resource_type,character varying(50),
web_app,idx_audit_resource,2,resource_id,character varying(100),
web_app,idx_audit_user_id,1,user_id,uuid,
web_app,idx_bom_effective,1,effective_from,date,
web_app,idx_bom_effective,2,effective_to,date,
web_app,idx_bom_item,1,item_uuid,uuid,
web_app,idx_bom_line_bom,1,bom_uuid,uuid,
web_app,idx_bom_line_component,1,component_item_uuid,uuid,
web_app,idx_bom_status,1,status,character varying(20),
web_app,idx_cid_app_form_no,1,form_no,character varying(50),
web_app,idx_emu3000_item_uuid,1,item_uuid,uuid,
web_app,idx_equip_ext_eswbs,1,eswbs_code,character varying(20),
web_app,idx_equip_ext_ship_type,1,ship_type,character varying(50),
web_app,idx_item_code,1,item_code,character varying(50),
web_app,idx_item_status,1,status,character varying(20),
web_app,idx_item_type,1,item_type,character varying(10),
web_app,idx_material_ext_accounting_unit_code,1,accounting_code,character varying(20),
web_app,idx_material_ext_category_code,1,item_category,character varying(10),
web_app,idx_material_ext_nsn,1,nsn,character varying(20),
web_app,idx_mrc_abbr,1,spec_abbr,character varying(20),
web_app,idx_mrc_item,1,item_uuid,uuid,
web_app,idx_part_item,1,item_uuid,uuid,
web_app,idx_part_number,1,part_number,character varying(50),
web_app,idx_part_supplier,1,supplier_id,integer,
web_app,idx_session_expires_at,1,expires_at,timestamp without time zone,
web_app,idx_session_is_active,1,is_active,boolean,
web_app,idx_session_user_id,1,user_id,uuid,
web_app,idx_supplier_app_form_no,1,form_no,character varying(50),
