"schema_name","table_name","column_order","column_name","data_type","column_comment"
web_app,ix_web_app_search_history_search_type,1,search_type,character varying(50),
web_app,ix_web_app_search_history_user_id,1,user_id,uuid,
web_app,ix_web_app_system_settings_is_public,1,is_public,boolean,
web_app,ix_web_app_system_settings_setting_key,1,setting_key,character varying(100),
web_app,ix_web_app_system_statistics_stat_date,1,stat_date,date,
web_app,ix_web_app_user_favorites_user_id,1,user_id,uuid,
web_app,ix_web_app_user_sessions_expires_at,1,expires_at,timestamp without time zone,
web_app,ix_web_app_user_sessions_is_active,1,is_active,boolean,
web_app,ix_web_app_user_sessions_user_id,1,user_id,uuid,
web_app,ix_web_app_user_settings_user_id,1,user_id,uuid,
web_app,ix_web_app_users_created_at,1,created_at,timestamp without time zone,
web_app,ix_web_app_users_email,1,email,character varying(120),
web_app,ix_web_app_users_english_code,1,english_code,character varying(10),
web_app,ix_web_app_users_username,1,username,character varying(80),
web_app,search_history,1,search_id,uuid,
web_app,search_history,2,user_id,uuid,
web_app,search_history,3,session_id,character varying(255),
web_app,search_history,4,search_query,text,
web_app,search_history,5,search_type,character varying(50),
web_app,search_history,6,search_filters,json,
web_app,search_history,7,results_count,integer,
web_app,search_history,8,execution_time_ms,integer,
web_app,search_history,9,ip_address,character varying(45),
web_app,search_history,10,user_agent,text,
web_app,search_history,11,created_at,timestamp without time zone,
web_app,search_history_pkey,1,search_id,uuid,
web_app,system_settings,1,setting_id,uuid,
web_app,system_settings,2,setting_key,character varying(100),
web_app,system_settings,3,setting_value,text,
web_app,system_settings,4,setting_type,character varying(50),
web_app,system_settings,5,description,text,
web_app,system_settings,6,is_public,boolean,
web_app,system_settings,7,created_at,timestamp without time zone,
web_app,system_settings,8,updated_at,timestamp without time zone,
web_app,system_settings_pkey,1,setting_id,uuid,
web_app,system_statistics,1,stat_id,uuid,
web_app,system_statistics,2,stat_date,date,
web_app,system_statistics,3,total_users,integer,
web_app,system_statistics,4,active_users,integer,
web_app,system_statistics,5,total_searches,integer,
web_app,system_statistics,6,avg_response_time_ms,"numeric(10,2)",
web_app,system_statistics,7,popular_search_terms,json,
web_app,system_statistics,8,created_at,timestamp without time zone,
web_app,system_statistics_pkey,1,stat_id,uuid,
web_app,user_favorites,1,favorite_id,uuid,
web_app,user_favorites,2,user_id,uuid,
web_app,user_favorites,3,item_type,character varying(50),
web_app,user_favorites,4,item_code,character varying(100),
web_app,user_favorites,5,item_name,text,
web_app,user_favorites,6,item_description,text,
web_app,user_favorites,7,notes,text,
web_app,user_favorites,8,created_at,timestamp without time zone,
web_app,user_favorites_pkey,1,favorite_id,uuid,
web_app,user_sessions,1,session_id,character varying(255),
web_app,user_sessions,2,user_id,uuid,
web_app,user_sessions,3,ip_address,character varying(45),
web_app,user_sessions,4,user_agent,text,
web_app,user_sessions,5,is_active,boolean,
web_app,user_sessions,6,remember_me,boolean,
web_app,user_sessions,7,expires_at,timestamp without time zone,
web_app,user_sessions,8,created_at,timestamp without time zone,
web_app,user_sessions,9,last_activity_at,timestamp without time zone,
web_app,user_sessions_pkey,1,session_id,character varying(255),
web_app,user_settings,1,setting_id,uuid,
web_app,user_settings,2,user_id,uuid,
web_app,user_settings,3,setting_key,character varying(100),
web_app,user_settings,4,setting_value,text,
web_app,user_settings,5,created_at,timestamp without time zone,
web_app,user_settings,6,updated_at,timestamp without time zone,
web_app,user_settings_pkey,1,setting_id,uuid,
web_app,users,1,id,uuid,
web_app,users,2,username,character varying(80),
web_app,users,3,email,character varying(120),
web_app,users,4,password_hash,character varying(256),
web_app,users,5,english_code,character varying(10),
web_app,users,6,full_name,character varying(100),
web_app,users,7,department,character varying(100),
web_app,users,8,position,character varying(100),
web_app,users,9,phone,character varying(50),
web_app,users,10,role,character varying(20),
web_app,users,11,is_active,boolean,
web_app,users,12,is_verified,boolean,
web_app,users,13,email_verified_at,timestamp without time zone,
web_app,users,14,last_login_at,timestamp without time zone,
web_app,users,15,failed_login_attempts,integer,
web_app,users,16,locked_until,timestamp without time zone,
web_app,users,17,created_at,timestamp without time zone,
web_app,users,18,updated_at,timestamp without time zone,
web_app,users_pkey,1,id,uuid,
